TYPE,TIMESTAMP,X,Y,Z
GYRO,1752154207930.2979,-0.0021293016616255045,-0.0015969761880114675,0.0005323254154063761
ACCEL,1752154207934.4768,0.21574629843235016,-9.679162979125977,0.411879301071167
GYRO,1752154207935.3057,-0.0010646508308127522,-0.0005323254154063761,-0.0005323254154063761
ACCEL,1752154207934.4768,0.21574629843235016,-9.679162979125977,0.411879301071167
GYRO,1752154207950.3289,0.0005323254154063761,-0.011184069328010082,0.0
ACCEL,1752154207954.3848,0.18632633984088898,-9.688969612121582,0.4314925968647003
GYRO,1752154207960.3447,0.0031956976745277643,0.0,0.0
ACCEL,1752154207964.3389,0.18632633984088898,-9.688969612121582,0.4314925968647003
GYRO,1752154207970.3599,0.005859069991856813,-0.003728023264557123,-0.0021293016616255045
ACCEL,1752154207974.2937,0.2059396505355835,-9.688969612121582,0.45110589265823364
GYRO,1752154207980.3757,-0.0005323254154063761,-0.0026616270188242197,-0.0015969761880114675
ACCEL,1752154207984.2478,0.19613298773765564,-9.669356346130371,0.47071918845176697
GYRO,1752154207990.3909,-0.004260348621755838,-0.0015969761880114675,-0.0005323254154063761
ACCEL,1752154207994.2039,0.22555294632911682,-9.669356346130371,0.4805258512496948
GYRO,1752154208000.4067,0.003728023264557123,-0.005324999336153269,-0.0015969761880114675
ACCEL,1752154208004.1587,0.23535959422588348,-9.688969612121582,0.509945809841156
GYRO,1752154208010.4229,0.0026616270188242197,-0.003728023264557123,0.0015969761880114675
ACCEL,1752154208014.1138,0.23535959422588348,-9.688969612121582,0.509945809841156
GYRO,1752154208020.4377,-0.0031956976745277643,0.0005323254154063761,-0.0021293016616255045
ACCEL,1752154208024.0688,0.23535959422588348,-9.688969612121582,0.509945809841156
GYRO,1752154208030.4536,0.006391395349055529,-0.0026616270188242197,0.0
ACCEL,1752154208034.0234,0.254972904920578,-9.679162979125977,0.4609125256538391
GYRO,1752154208040.4683,0.0026616270188242197,-0.0015969761880114675,0.0005323254154063761
ACCEL,1752154208043.977,0.2059396505355835,-9.698776245117188,0.42168593406677246
GYRO,1752154208050.484,0.005324999336153269,-0.014913838356733322,0.0005323254154063761
ACCEL,1752154208053.932,0.18632633984088898,-9.679162979125977,0.42168593406677246
GYRO,1752154208060.4995,0.0005323254154063761,-0.005324999336153269,-0.0015969761880114675
ACCEL,1752154208063.8865,0.17651969194412231,-9.679162979125977,0.4314925968647003
GYRO,1752154208070.5142,0.0005323254154063761,-0.004792673978954554,0.0015969761880114675
ACCEL,1752154208073.84,0.17651969194412231,-9.688969612121582,0.42168593406677246
GYRO,1752154208080.53,0.0021293016616255045,0.0010646508308127522,0.0031956976745277643
ACCEL,1752154208083.7937,0.2059396505355835,-9.688969612121582,0.4412992298603058
GYRO,1752154208090.5447,-0.0031956976745277643,-0.003728023264557123,-0.0015969761880114675
ACCEL,1752154208093.7476,0.22555294632911682,-9.698776245117188,0.45110589265823364
GYRO,1752154208100.5603,0.004260348621755838,-0.007456046529114246,0.0
ACCEL,1752154208103.7021,0.22555294632911682,-9.679162979125977,0.4412992298603058
GYRO,1752154208110.576,0.0021293016616255045,-0.008520697243511677,-0.0015969761880114675
ACCEL,1752154208113.656,0.23535959422588348,-9.688969612121582,0.45110589265823364
GYRO,1752154208120.5908,0.004260348621755838,-0.004792673978954554,0.0021293016616255045
ACCEL,1752154208123.6096,0.22555294632911682,-9.698776245117188,0.4805258512496948
GYRO,1752154208130.6067,0.003728023264557123,-0.0015969761880114675,-0.0015969761880114675
ACCEL,1752154208133.5637,0.254972904920578,-9.698776245117188,0.4805258512496948
GYRO,1752154208140.6228,0.0021293016616255045,-0.005859069991856813,0.0026616270188242197
ACCEL,1752154208143.5166,0.24516624212265015,-9.698776245117188,0.5197524428367615
GYRO,1752154208150.6377,-0.0005323254154063761,-0.005324999336153269,0.0010646508308127522
ACCEL,1752154208153.4697,0.21574629843235016,-9.679162979125977,0.5001391172409058
GYRO,1752154208160.654,-0.0031956976745277643,-0.0015969761880114675,-0.0010646508308127522
ACCEL,1752154208163.424,0.21574629843235016,-9.688969612121582,0.4609125256538391
GYRO,1752154208170.6692,0.0026616270188242197,-0.012250465340912342,-0.0021293016616255045
ACCEL,1752154208173.3792,0.19613298773765564,-9.688969612121582,0.45110589265823364
GYRO,1752154208180.6853,0.006391395349055529,-0.003728023264557123,0.005324999336153269
ACCEL,1752154208183.3335,0.19613298773765564,-9.688969612121582,0.42168593406677246
GYRO,1752154208190.7017,0.003728023264557123,-0.0015969761880114675,-0.0005323254154063761
ACCEL,1752154208193.2876,0.2059396505355835,-9.698776245117188,0.40207263827323914
GYRO,1752154208200.7168,0.0,0.0021293016616255045,0.0026616270188242197
ACCEL,1752154208203.242,0.19613298773765564,-9.688969612121582,0.3922659754753113
GYRO,1752154208210.7332,0.0015969761880114675,0.0010646508308127522,-0.0010646508308127522
ACCEL,1752154208213.1963,0.22555294632911682,-9.698776245117188,0.411879301071167
GYRO,1752154208220.7495,0.005324999336153269,-0.005859069991856813,0.0026616270188242197
ACCEL,1752154208223.1516,0.24516624212265015,-9.698776245117188,0.45110589265823364
GYRO,1752154208230.7651,-0.0015969761880114675,-0.009054767899215221,-0.0005323254154063761
ACCEL,1752154208233.1072,0.254972904920578,-9.698776245117188,0.45110589265823364
GYRO,1752154208240.7815,0.006391395349055529,-0.005324999336153269,-0.0021293016616255045
ACCEL,1752154208243.0615,0.254972904920578,-9.688969612121582,0.45110589265823364
GYRO,1752154208250.797,0.0015969761880114675,0.0015969761880114675,0.0005323254154063761
ACCEL,1752154208253.016,0.24516624212265015,-9.698776245117188,0.4805258512496948
GYRO,1752154208260.8135,0.005324999336153269,0.0010646508308127522,0.0026616270188242197
